,pos,neg,neu,comp,tag
124,0.195,0.066,0.739,0.6486,2002
125,0.098,0.095,0.807,0.0258,2002
126,0.159,0.135,0.706,0.128,2002
127,0.093,0.0,0.907,0.5574,2002
128,0.22,0.0,0.78,0.9022,2002
129,0.142,0.533,0.325,-0.9648,2002
130,0.139,0.303,0.559,-0.8591,2002
131,0.058,0.136,0.806,-0.5859,2002
132,0.167,0.0,0.833,0.802,2002
133,0.07,0.0,0.93,0.4215,2002
134,0.17,0.0,0.83,0.8126,2002
135,0.132,0.156,0.712,-0.2263,2002
136,0.028,0.199,0.773,-0.8834,2002
137,0.039,0.2,0.761,-0.8658,2002
138,0.0,0.175,0.825,-0.7783,2002
139,0.0,0.188,0.812,-0.7003,2002
140,0.109,0.13,0.761,-0.1027,2002
141,0.0,0.373,0.627,-0.8934,2002
142,0.128,0.299,0.573,-0.9062,2002
143,0.05,0.181,0.769,-0.7783,2002
144,0.147,0.216,0.637,-0.4731,2002
145,0.113,0.075,0.812,0.2023,2002
146,0.143,0.432,0.425,-0.9781,2002
147,0.0,0.24,0.76,-0.743,2002
148,0.052,0.23,0.718,-0.8658,2002
149,0.119,0.31,0.571,-0.9001,2002
150,0.061,0.152,0.787,-0.5574,2002
151,0.111,0.183,0.707,-0.4588,2002
152,0.133,0.0,0.867,0.6369,2002
153,0.024,0.094,0.882,-0.5719,2002
154,0.09,0.062,0.847,0.128,2002
155,0.198,0.089,0.712,0.5106,2002
156,0.056,0.329,0.615,-0.9042,2002
157,0.123,0.0,0.877,0.7096,2002
158,0.223,0.374,0.403,-0.9231,2002
159,0.0,0.244,0.756,-0.891,2002
160,0.032,0.273,0.695,-0.8934,2002
161,0.095,0.046,0.859,0.4215,2002
162,0.081,0.222,0.697,-0.7579,2002
163,0.0,0.369,0.631,-0.9705,2002
164,0.156,0.0,0.844,0.34,2002
165,0.133,0.196,0.671,-0.5719,2002
166,0.429,0.0,0.571,0.936,2002
167,0.0,0.306,0.694,-0.9325,2002
168,0.054,0.14,0.806,-0.5423,2002
169,0.139,0.301,0.56,-0.875,2002
170,0.0,0.262,0.738,-0.9349,2002
171,0.039,0.286,0.675,-0.9493,2002
172,0.149,0.088,0.763,0.4215,2002
173,0.13,0.092,0.778,0.2263,2002
174,0.036,0.192,0.772,-0.836,2002
175,0.303,0.0,0.697,0.9169,2002
176,0.208,0.327,0.465,-0.8126,2002
177,0.103,0.042,0.856,0.4939,2002
178,0.095,0.0,0.905,0.5267,2002
179,0.245,0.0,0.755,0.7003,2002
180,0.098,0.291,0.611,-0.8779,2002
181,0.119,0.212,0.669,-0.5994,2002
182,0.06,0.279,0.661,-0.8074,2002
183,0.04,0.134,0.825,-0.7003,2002
184,0.045,0.51,0.446,-0.9779,2002
185,0.176,0.178,0.645,-0.2732,2002
186,0.047,0.424,0.529,-0.9595,2002
187,0.079,0.073,0.847,0.0516,2002
188,0.122,0.058,0.82,0.4588,2002
189,0.078,0.0,0.922,0.5106,2002
190,0.146,0.18,0.674,-0.1531,2002
191,0.15,0.308,0.542,-0.936,2002
192,0.108,0.324,0.568,-0.8689,2002
193,0.0,0.194,0.806,-0.8555,2002
194,0.187,0.098,0.714,0.5574,2002
195,0.111,0.175,0.714,-0.5267,2002
196,0.087,0.345,0.568,-0.9652,2003
197,0.074,0.346,0.579,-0.9601,2003
198,0.094,0.09,0.816,0.0516,2003
199,0.151,0.0,0.849,0.91,2003
200,0.089,0.219,0.692,-0.7964,2003
201,0.044,0.327,0.629,-0.9628,2003
202,0.088,0.256,0.656,-0.8658,2003
203,0.0,0.281,0.719,-0.8934,2003
204,0.206,0.253,0.541,-0.6195,2003
205,0.061,0.491,0.448,-0.9648,2003
206,0.205,0.092,0.703,0.6808,2003
207,0.199,0.089,0.712,0.6808,2003
208,0.088,0.0,0.912,0.4939,2003
209,0.086,0.041,0.873,0.3818,2003
210,0.183,0.232,0.585,-0.4767,2003
211,0.0,0.24,0.76,-0.802,2003
212,0.199,0.15,0.65,0.1027,2003
213,0.032,0.148,0.82,-0.7269,2003
