Year,N_term,N_tfidf,S_term,S_tfidf
2001,dam,0.6931363924898996,woh,0.8013551066721936
2001,diesel,0.62105020767095,ur,0.6916616342080061
2001,airline,0.5904475217376837,music,0.6893529047352651
2001,twa,0.5750464885842129,clean,0.5882628552028925
2001,code,0.5008469416701209,fresh,0.42782753105664906
2001,student,0.4851954747429297,awhile,0.40735531521507107
2001,asian,0.4851954747429297,wide,0.3985520771729365
2001,influx,0.4851954747429297,here,0.3950112147540083
2001,cdc,0.4851954747429297,fallin,0.3950112147540083
2001,torricelli,0.47336143877358994,bad,0.37787863329809224
2001,anthrax,0.4697430661939559,angel,0.36682448485698865
2001,violin,0.46209092832659965,jelly,0.3446948546436257
2001,columbia,0.4485288632045514,wally,0.3256791542795007
2001,annual,0.4436072911935357,freak,0.3182630715394657
2001,meeting,0.4436072911935357,play,0.31658904501928137
2001,budget,0.4308671104572287,space,0.3012677118787552
2001,area,0.4114085957914183,promise,0.28817206352801344
2001,organ,0.40858566294141446,izzo,0.287017041397226
2001,transplant,0.40858566294141446,stutter,0.28492612211764534
2001,milosevic,0.3960779385656569,cream,0.2836669588419477
2001,ban,0.3888312948028649,bleed,0.2772545569959598
2001,engine,0.38815637979434375,peach,0.27626788597462193
2001,turkey,0.38815637979434375,izza,0.27334956323545334
2001,purchase,0.3862331877594748,oochie,0.2725070474583578
2001,israel,0.37579445295516467,dance,0.269095615126597
2001,economist,0.3756352062525907,ready,0.263180604499151
2001,hevesi,0.3756352062525907,irresistible,0.26266221189090927
2001,dominican,0.36967274266127975,ei,0.2560398283603851
2001,divorce,0.36967274266127975,stranger,0.255927283380886
2001,dreamcast,0.36389660605719726,ever,0.2552128758412773
2001,duty,0.36389660605719726,wonder,0.2552128758412773
2001,gas,0.34760986898352736,survivor,0.24259773737146484
2001,california,0.34161606614823126,remind,0.24045085473985894
2001,widow,0.3404880524511787,arm,0.240089967540994
2001,woman,0.3391932571684566,hope,0.23924391458285926
2001,green,0.3363966474034135,chorus,0.23524629078445075
2001,fund,0.3294747851188091,follow,0.23307823226745453
2001,food,0.32346364982861975,moment,0.2327311399549994
2001,surplus,0.32346364982861975,hero,0.23058794839267943
2001,nurse,0.32346364982861975,beautiful,0.2279408976941163
2001,stamp,0.32346364982861975,he,0.2243454832790898
2001,nevada,0.32346364982861975,gon,0.22390760664807668
