,pos,neg,neu,comp,tag
125,0.166,0.097,0.738,0.9636,2002
126,0.074,0.176,0.75,-0.9888,2002
127,0.252,0.144,0.604,0.9517,2002
128,0.106,0.054,0.841,0.9451,2002
129,0.317,0.097,0.586,0.9954,2002
130,0.336,0.012,0.652,0.999,2002
131,0.055,0.156,0.789,-0.9531,2002
132,0.092,0.472,0.437,-0.9974,2002
133,0.125,0.093,0.782,0.8225,2002
134,0.168,0.067,0.766,0.9531,2002
135,0.416,0.048,0.537,0.9962,2002
136,0.165,0.151,0.683,0.6856,2002
137,0.495,0.042,0.463,0.9988,2002
138,0.253,0.065,0.682,0.9874,2002
139,0.285,0.193,0.522,0.9838,2002
140,0.254,0.185,0.561,0.9065,2002
141,0.081,0.043,0.875,0.6249,2002
142,0.321,0.115,0.564,0.981,2002
143,0.127,0.281,0.591,-0.9974,2002
144,0.344,0.129,0.526,0.9885,2002
145,0.115,0.07,0.814,0.9777,2002
146,0.144,0.024,0.832,0.986,2002
147,0.228,0.095,0.677,0.9842,2002
148,0.334,0.031,0.635,0.998,2002
149,0.212,0.076,0.712,0.9911,2002
150,0.131,0.073,0.796,0.9795,2002
151,0.067,0.426,0.508,-0.9997,2002
152,0.294,0.093,0.613,0.9853,2002
153,0.189,0.279,0.532,0.4218,2002
154,0.408,0.228,0.364,0.9925,2002
155,0.305,0.0,0.695,0.9897,2002
156,0.357,0.031,0.613,0.9973,2002
157,0.27,0.084,0.646,0.9902,2002
158,0.049,0.243,0.708,-0.9994,2002
159,0.215,0.135,0.65,0.9904,2002
160,0.357,0.0,0.643,0.9961,2002
161,0.236,0.09,0.674,0.9766,2002
162,0.234,0.066,0.7,0.9776,2002
163,0.277,0.11,0.613,0.9969,2002
164,0.429,0.051,0.52,0.9995,2002
165,0.221,0.101,0.678,0.9931,2002
166,0.192,0.133,0.674,0.9845,2002
167,0.452,0.065,0.483,0.998,2002
168,0.212,0.105,0.683,0.9828,2002
169,0.343,0.137,0.52,0.9984,2002
170,0.039,0.062,0.899,-0.8807,2002
171,0.224,0.109,0.667,0.9801,2002
172,0.209,0.3,0.491,-0.9932,2002
173,0.203,0.176,0.621,0.4506,2002
174,0.199,0.458,0.342,-0.9991,2002
175,0.056,0.153,0.791,-0.9042,2002
176,0.229,0.103,0.668,0.9938,2002
177,0.245,0.07,0.685,0.9896,2002
178,0.164,0.215,0.621,-0.9688,2002
179,0.634,0.0,0.366,0.9987,2002
180,0.059,0.0,0.941,0.8957,2002
181,0.091,0.088,0.821,-0.0586,2002
182,0.21,0.21,0.58,-0.5994,2002
183,0.215,0.101,0.684,0.9272,2002
184,0.247,0.007,0.746,0.9951,2002
185,0.152,0.037,0.811,0.9924,2002
186,0.129,0.184,0.687,-0.7906,2002
187,0.168,0.081,0.75,0.9716,2002
188,0.329,0.0,0.671,0.9899,2002
189,0.148,0.072,0.78,0.9141,2002
190,0.259,0.112,0.628,0.9873,2002
191,0.219,0.115,0.666,0.9764,2002
192,0.05,0.02,0.93,0.6597,2002
193,0.333,0.116,0.552,0.9969,2002
194,0.406,0.047,0.547,0.9991,2002
195,0.054,0.116,0.83,-0.9231,2002
196,0.144,0.196,0.66,-0.9863,2003
197,0.161,0.065,0.774,0.9747,2003
198,0.194,0.133,0.673,0.9837,2003
199,0.313,0.173,0.514,0.9984,2003
200,0.214,0.253,0.533,-0.691,2003
201,0.147,0.115,0.738,0.7845,2003
202,0.249,0.072,0.679,0.9972,2003
203,0.09,0.205,0.706,-0.9691,2003
204,0.132,0.152,0.717,-0.4545,2003
205,0.239,0.05,0.711,0.9892,2003
206,0.073,0.403,0.524,-0.9997,2003
207,0.241,0.093,0.667,0.9942,2003
208,0.235,0.159,0.606,0.9912,2003
209,0.455,0.07,0.475,0.9994,2003
210,0.219,0.241,0.54,-0.2896,2003
211,0.371,0.094,0.534,0.9895,2003
212,0.181,0.234,0.585,-0.9393,2003
213,0.142,0.094,0.763,0.8074,2003
214,0.191,0.138,0.671,0.9413,2003
215,0.054,0.139,0.807,-0.9833,2003
216,0.15,0.211,0.64,-0.9898,2003
217,0.186,0.076,0.739,0.9921,2003
218,0.288,0.05,0.662,0.9976,2003
219,0.163,0.143,0.695,-0.8579,2003
220,0.464,0.071,0.464,0.9989,2003
221,0.382,0.147,0.471,0.9993,2003
222,0.345,0.082,0.573,0.9924,2003
223,0.215,0.135,0.65,0.9904,2003
224,0.454,0.021,0.525,0.9992,2003
225,0.169,0.351,0.48,-0.9939,2003
226,0.323,0.111,0.566,0.9982,2003
227,0.164,0.106,0.73,0.9062,2003
228,0.448,0.02,0.533,0.9962,2003
229,0.291,0.121,0.588,0.9927,2003
230,0.233,0.0,0.767,0.9766,2003
231,0.131,0.073,0.796,0.9795,2003
232,0.072,0.262,0.666,-0.9951,2003
233,0.46,0.015,0.525,0.999,2003
234,0.096,0.064,0.84,0.9723,2003
235,0.214,0.079,0.707,0.9886,2003
236,0.345,0.09,0.565,0.9977,2003
237,0.076,0.213,0.711,-0.997,2003
238,0.291,0.173,0.536,0.9879,2003
239,0.229,0.059,0.712,0.9723,2003
240,0.112,0.402,0.486,-0.9996,2003
241,0.306,0.0,0.694,0.9795,2003
242,0.152,0.141,0.707,0.3761,2003
243,0.125,0.199,0.676,-0.9607,2003
244,0.342,0.115,0.544,0.9964,2003
245,0.279,0.129,0.592,0.9939,2003
246,0.274,0.223,0.503,0.8671,2003
247,0.155,0.091,0.754,0.9699,2003
