Rank,Song,Artist,Year,Lyrics
5,im gone,3 doors down,2003,theres another world inside may never see theres secrets life cant hide somewhere darkness theres light cant find maybe far away maybe im blind maybe im blindso hold im right im wrong hold im scared love im gone everything everything ill also one wanted ill never let even could id give everything good hold im right im wrong hold im scared always love im gone love im gonewhen education xray cannot see skin tell damn thing could tell friends roaming darkness im alive im alone part fighting part goneso hold im right im wrong hold im scared love im gone everything everything ill also one wanted ill never let even could id give everything good hold im right im wrong hold im scared always love im gonemaybe im blindso hold im right im wrong hold im scared love im gone everything everything ill also one wanted ill never let even could id give everything good hold im right im wrong hold im scared always love im gone love im gone
6,unwell,matchbox twenty,2003,day staring ceiling making friends shadows wall night hearing voices telling get sleep tomorrow might good somethinghold feeling like im headed breakdown know whybut im crazy im little unwell know right cant tell stay awhile maybe see different side im crazy im little impaired know right care soon enough gonna think used meim talking public dodging glances train know know theyve talking hear whisper makes think must something wrong hours thinking somehow ive lost mindbut im crazy im little unwell know right cant tell stay awhile maybe see different side im crazy im little impaired know right care soon enough gonna think used beive talking sleep pretty soon theyll come get yeah theyre taking awaybut im crazy im little unwell know right cant tell stay awhile maybe see different side im crazy im little impaired know right care soon enough gonna think used behey used used well im little unwell used used im little unwell
7,right thurr,chingy,2003,uh hey dirty look girl right make say yeah hey dochorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchingy like way look pants see ya fine fine momma quarter piece far dime dime type girl getcha go make grind grind im thinkin snatchin dirty makin mine look hips look legs aint stacked stacked sure mind hittin back back like touch cause moan lil bit jeans saggin see thong lil bit know grown little bit twenty years old legal trip people hop regal swooped like eagle swoopin prey know popular gon famous todaychorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchingy shoppin frontenac look front back man stacked know want man hes wack girl taste yo khaki three hundred step like buyin throwback stay clubclub seein got honest real life girl remind pocahontas events yeah im impressed pass yeah high rollin cats want pay ass aint half steppin steppin strapped wit nice weapon weapon trick law move hips ever seen dirty mouth gon drop worldwide fools probably tell topschorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchingy like way doin cmon plus like bring back say uhhuh uhhuh whoo like way doin cmon plus like bring back say uhhuh uhhuh whoochingy gimme got pork chop uh threw like shortstop uh workin fatty girl hugga top back let drop drop make hop boing like bunny bunny girl touch sunny purse make give money pose sports illustrated like picture perfect site pass girls hate ichorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturrchorus like way right thurr right thurr swing hips walkin let hurr let hurr like way right thurr right thurr lick lips talkin make sturri like uhhuh like uhhuh like uhhuh like track stars like yeah like yeah like yeah like chingy
8,miss,aaliyah,2003,long im lost without gonna said needin wantin said need wonderin whos heart still mine wanna cry sometimes miss youoff college yes went away straight high school left close friends also lovers everything one another gone im lost without know gotta live make somehow come back feel callin hear callin youcause itsits long im lost without gonna said needin wantin wonderin whos heart still mine wanna cry sometimes miss younow im sittin thinkin bout days used share drivin crazy know im wonderin still care wanna let know killin know got another life gotta concentrate baby come backto feel callin hear callin cause itsits long im lost without gonna said needin wantin wonderin whos heart still mine wanna cry sometimes miss youits long im lost without gonna said needin wantin said need wonderin whos heart still mine wanna cry sometimes miss youi cant since went away really feel like talkin one love baby understand cant without youits long im lost without tell im gonna gonna said needin wantin wonderin whos heart still mine wanna cry sometimes miss youits long im lost without gonna said needin wantin said need wonderin whos heart still mine wanna cry sometimes miss youits long im lost without gonna said needin wantin said need wonderin whos heart still mine wanna cry sometimes miss
9,picture,kid rock featuring sheryl crow,2003,living life slow hell different girl every night hotel aint seen sunshine three damn days fuelling cocaine whisky wish good girl miss lord wonder ill ever change waysi put picture away sat cried today cant look im lying next put picture away sat cried today cant look im lying next heri called last night hotel everyone knows tell halfhearted smiles tell something aint right ive waiting long time fueling heartaches cheap wine aint heard three damn nightsi put picture away wonder cant look im lyin next put picture away wonder cant look im lyin next saw ya yesterday old friendi saw yesterday old friendit old beensince gone worlds dark greyyou reminded brighter daysi hoped coming home stay headed churchi drink awayi thought long time cant seem get mind cant understand living life wayi found picture today swear ill change ways called say want come back home found picture today swear ill change ways called say want come back home called say love come back home
10,bring life,evanescence featuring paul mccoy,2003,see eyes like open doors leading core ive become numb without soul spirits sleeping somewhere cold find lead back homewake wake inside cant wake wake inside save call name save dark wake bid blood run cant wake come undone save save nothing ive becomenow know im without cant leave breathe make real bring lifewake wake inside cant wake wake inside save call name save dark wake bid blood run cant wake come undone save save nothing ive becomebring life ive living lie theres nothing inside bring lifefrozen inside without touch without love darling life among deadall time cant believe see kept dark front meive sleeping thousand years seems ive got open eyes everythingwithout thought without voice without souldont let die must something wrong bring lifewake wake inside cant wake wake inside save call name save dark wake bid blood run cant wake come undone save save nothing ive becomebring life ive living lie theres nothing inside bring life
11,get low,lil jon  the east side boyz featuring ying yang twins,2003,standing real fine move suck one mo time get low get low get low get low window wall sweat drop balls bitches crawl skee skee motherfucker skee skee got dam skee skee motherfucker skee skee got dam shortie crunk fresh clean fuck question harassing mind bitch fine done came club th times play yo panty line club owner said need calm security guard go sweating got drunk motherfucker threaten getting crunk club mine work ands like see female twerking taking clothes buckey naked atl hoe disrespect pa pop yo pussy like cause yin yang twins bitch lil jon east side boys wit like see ass tities bring yo ass hoe let see get low want thug take floor yo ass wanta act keep yo ass standing real fine move suck one mo time get low get low get low get low window wall sweat drop balls bitches crawl skee skee motherfucker skee skee got dam skee skee motherfucker skee skee got dam let see get low scared scared drop dat ass floor scared scared let see get low scared scared drop dat ass floor scared scared turn dat ass shake fast ya pop dat ass left right ya turn dat ass shake fast ya pop dat ass left right ya back back back back back back back back back back back back stop wiggle wit yeah stop wiggle wit yeah stop wiggle wit yeah stop wiggle wit wiggle wit standing real fine move suck one mo time get low get low get low get low window wall sweat drop balls bitches crawl skee skee motherfucker skee skee got dam skee skee motherfucker skee skee got dam give doe back go get ya friend stupid bitch standing im drinking hen steady looking still asking questions times nigga pass another contestant hoe move left aint bout th done talk songs already looking nigga yo palm bitch aint even seen dance twerk something baby work something baby pop yo pussy pole yo thang baby slide dat bitch wit yo little bit stop get back floor catch yo balance drop bring back clap yo ass like hands wanna see yo ass drity dance ying yang done put map like ann standing real fine move suck one mo time get low get low get low get low window wall sweat drop balls bitches crawl skee skee motherfucker skee skee got dam skee skee motherfucker skee skee got dam got dam ya yall twreking little bit ladies ya got twrek alittle bit harder dat right need ladies dat know look good tonite want yall shit like bend front touch toes back dat ass get low bend front touch toes back dat ass get low bend front touch toes back dat ass get low bend front touch toes back dat ass get low standing real fine move suck one mo time get low get low get low get low window wall sweat drop balls bitches crawl skee skee motherfucker skee skee got dam skee skee motherfucker skee skee got dam
12,baby boy,beyonce featuring sean paul,2003,certified quality dat da girl dem need dem stop cry without apology buck dem da right way dat policy sean paul alongside beyonce hear da man say dutty ya dutty ya dutty ya beyonce sing girl baby boy stay mind fulfill fantasies cmon baby tell feel think time see dreams baby boy day goes without fantasies cmon baby tell whats deal think time see dreams aah babys fly baby yes hurt good baby im wrapped love let go let breathe stay fantasies ya ready gimme da ting dat ya ready get ya live tell da tings fantasize know dig da way step da way make stride follow feelings baby girl cannot denied come check ina night make get amplified da ting run da ship cause im go slip im go slide words love got ta get certified give da toughest longest kinda ride girl baby boy stay mind fulfill fantasies think time see dreams baby boy day goes without fantasies think time see dreams picture us dancin real close dark dark corner basement party every time close eyes like everyone left little world music sun dance floor becomes sea feels like true paradise baby boy stay mind fulfill fantasies think time see dreams baby boy day goes without fantasies think time see dreams baby boy stay mind baby boy damn fine baby boy mine baby boy lets conceive angel baby boy stay mind baby boy damn fine baby boy mine baby boy lets conceive angel top top girl together wrap dat girl driving around da town drop top girl stop shock girl little da dutty well rock dat world top top girl together wrap dat girl driving around da town drop top girl stop shock girl little da dutty well rock dat world baby boy stay mind fulfill fantasies think time see dreams baby boy day goes without fantasies think time see dreams know gonna like know gonna like fight fight
13,shake ya tailfeather,nelly p diddy and murphy lee,2003,fun fun dirty eat fun bad boy nelly diddy murphy lee fun history baby bend trucks fun stack bucks fun come band played yeah like believe cool fun see fun bad boys soundtrack lets go hey girl name turn around came ass momma reindeer cant explain damn sure glad came im still sucker cornrolls know never changed nah uh body banging mamma brains come im still cat young running bad boys im older hope saw im running bad boys thats right come another man unlike man candy coated whoa switching every lane yall help cha please help thug two g like cocky bow legged ones like white dominicans hispanics asians shake nelly son manolos manonos cant tell everybody hootchies well let see take girl go take even slow even slow take want go take want go take ass floor pop something move something shake ya tail feather girl go take low even slow even slow take want go take want go take ass floor pop something move something shake ya tail feather real girls get floor floor get money honey act like know like know mama like dance way fit pants enter floor take low girl know love love girls girls diddy murphy lee nelly love shit uh come got another one player new york dirty loving player baby impressive lets get know best best got love dresses sexiest tell young janet jackson live living color look momma dead wrong pants capris cut low shake see thong pockets full dough shake feathers till morning bad boy nelly man somebody better warn let see take girl go take even slow even slow take want go take want go take ass floor pop something move something shake ya tail feather girl go take low even slow even slow take want go take want go take ass floor pop something move something shake ya tail feather heard bad boys coming cant stop got continue running yeah go party till lights come song start thumping mike still yo im big booty type like thick mind right awe banging personality conversate time right naw im hard ive got women handle like man im really thundercat come know tics connect like voltron collect much grass popo thinking mow lawns gohans match matches head wrap seats got lap im juvenile gs wha keep women wizzy man say babies im young like tucker like cash money im going eat money man im damn hungry see im starving like marvin girl ive got sixteen bars fire im starting plus rats come packs like sammy dean martin got many keys think valet parking shake nelly son manolos manonos cant tell everybody hootchies well let see take girl go take even slow even slow take want go take want go take ass floor pop something move something shake ya tail feather girl go take low even slow even slow take want go heard bad boys coming cant stop got continue running yeah go party till lights come song start thumping mic still man
14,questions,50 cent featuring nate dogg,2003,new york city rapping cent gotta love wanna chill twist lot catch suns drive crazy shorty need see feel next provide everything need like smile wanna see cry got questions got ask hope come answers babegirl easy love would love would still love girl easy love would love would still love girlif fell tomorrow would still love smell good would still hug got locked sentenced quarter century could count support mentally went back hoopty benz would poof disappear like friends hit hurt would side time put work would ride id get peel nigga cap chill drive im asking questions find feel inside aint rap cause flipped burgers burger king would ashamed tell friends feelin bed used tongue would like wrote love letter would write back lil drink know nightcap could go like know like thatgirl easy love would love would still love girl easy love would love would still love girlnow would leave father found thuggin believe tell one im loving mad cause im asking questions soul mate cause girl blessing trust enough tell dreams im staring ya trying figure got jeans would say things make smile treat want treated teach chick someone happened see asked said would believe leave deep bond thats takes gone humans girl make mistakes make whatever take love like fat kid love cake know style say anything make smilegirl easy love would love would still love girl easy love would love would still love girlcould love bentley could love bus ill ask questions us could love bentley could love bus ill ask questions us
15,,jennifer lopez featuring ll cool j,2003,love life life living special loveoh baby go baby go yeah baby go uh baby go yeah baby go baby go yeah yeah act like thatits shame im leaving cant take way mistreated crazy baby matter whatever phase mei believe wanna leave like believe last real kiss believe well laugh reminisce wait minute bounce baby lets talk manwell im bouncing im son gotta leave alonecause im good holding spot im good reppin girls block im good got thing lock without fine rightall pride pride baby girl im needing bad easy make decisions mad path chose run alone know independent make home yeah time essence spend alone huhthe nights waited boy promises made coming much time wasted thats replace youit makes cat nervous thought settling especially creeping town thought tender touch could lock knew cocky sounds way used giggle right put better angry come ill prove come herestop playing gamin gotta leave alonecause im good holding spot stop acting like im good reppin girls block know need stop im good got thing lock without fine right goall pride pride baby girl im needing bad easy make decisions mad path chose run alone know independent make home time essence spend alone huhpeople make mistakes make break wake cold lonely chill baby know love im like homey instead beef come hold promise im phony bounce baby console come hereaint nothing say change mind gotta let go nothing ever way go ahead thing theres explain know know game im feeling doso im bouncing im son gotta leave alone yeah yeahall pride pride baby girl im needing bad easy make decisions mad path chose run alone know independent make home yeah time essence spend alone huhall pride pride baby girl im needing bad easy make decisions mad path chose run alone know independent make home yeah time essence spend alone huhi promise know im sayin
16,beautiful,christina aguilera,2003,look meeveryday wonderful suddenly hard breathe get insecure pain im ashamedi beautiful matter say words cant bring beautiful every single way yes words cant bring bring todayto friends delirious consumed doom trying hard fill emptiness pieces gone left puzzle undone aint way isyoure beautiful matter say words cant bring beautiful every single way yes words cant bring bring todayno matter matter matter say matter say song inside tune yeah yeah full beautiful mistakesand everywhere go everywhere go sun always shine sun always always shine tomorrow might awake sidewere beautiful matter say yes words bring us beautiful every single way yes words cant bring us bring todayoh bring today bring today
17,know want,busta rhymes and mariah carey featuring flipmode squad,2003,baby give ill give know want know got baby give ill give long want know got itbaby give ill give know want know got baby give ill give long want know got itbaby give ill give know want know got baby give ill give long want know got itbaby give ill give know want know got baby give ill give long want know got iti climb mountain high love touch sky baby come get close cause love supposed bebaby give ill give know want know got baby give ill give long want know got itbaby give ill give know want know got baby give ill give long want know got iti climb mountain high love touch sky baby come get close cause love supposed bebaby give ill give baby give ill give baby give ill give
18,im,avril lavigne,2003,im standing bridge im waitin dark thought theres nothing rain footsteps ground im listening theres soundisnt anyone tryin find somebody come take home damn cold night trying figure life take hand take somewhere new know im youim looking place im searching face anybody know cause nothings going right everythings mess one likes aloneisnt anyone tryin find somebody come take home damn cold night trying figure life take hand take somewhere new know im youoh everything confusing maybe im mind yea yea yeaits damn cold night trying figure life take hand take somewhere new know im youtake hand take somewhere new know im im youtake hand take somewhere new know im im im
19,drift away,uncle kracker featuring dobie gray,2003,day day im confused yet look light pouring rain know thats game hate lose im feelin strain aint shameoh give beat boys free soul wanna get lost rock n roll drift away give beat boys free soul wanna get lost rock n roll drift away take awaybeginnin think im wastin time understand things world outside looks unkind im countin carry throughoh give beat boys free soul wanna get lost rock n roll drift away give beat boys free soul wanna get lost rock n roll drift away take awayand mind free know melody move im feelin blue guitars comin soothe methanks joy given want know believe song rhythm rhyme harmony help along makin strongoh give beat boys free soul wanna get lost rock n roll drift away give beat boys free soul wanna get lost rock n roll drift awaygive beat boys free soul wanna get lost rock n roll drift away give beat boys free soul wanna get lost rock n roll drift awaywont take take wanna drift away take away wanna drift away wanna drift away take home let drift away take away
20,magic stick,lil kim featuring 50 cent,2003,got magic stick know hit hit twice hit baddest chicks shorty believe come tonight ill show magic magic got magic stickim freak core get dose gon want tongue touch girl toes bound curl exclusive shit share world early mornin moanin back shot proper low cant stop us fiend since rakim made hits get position pack time switchill rock boat ill work middle speed straight beat aint hood toast locn im telly workin sweat stroke tonights night fall love call mama right tell met thug pop lot shit cause back left strokes death strokei got magic clit know get licked get licked twice baddest chick shorty believe come tonight ill show magic magic got magic clitlil kim whore sex nigga good gotta tell boys come sex test skills cause head game head heels give nigga chills pay bills buy matching lambos color wheels aint shoppin spendin dudes cnotes im crib givin niggas deep throatstonight lil kim gon zone girls call ya crib im answerin phone guys wanna wife give ring ill anywhere anyhow im anything couple humps give nigga goosebumps junk trunk aint made chumps lil kims around need lie drugs baby im makin ya highi got magic stick know hit hit twice baddest chick shorty believe come tonight ill show magic magic magic got magic clitnow put face know sprung tongue know tastin sex aint race thug nigga breakin records time one minute six seconds magic stick got magic box ass trickin one back shot gifts ice like lot minks leathers cl dropi got magic stick know hit hit twice hit baddest chicks shorty believe come tonight ill show maaagic magic magic got magic sticki got magic stick know get licked get licked twice baddest chick shorty believe come tonight ill show magic magic magic got magic stick
21,pimp,50 cent,2003,know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpnow shorty club dancing dollars got thing gucci fendi prada bcbg burberry dolce gabbana feed foolish fantasies pay cause want spit little g man game got hour later ass ramada trick niggas ear saying think got bitch bar trying get drink like style like smile like way talk country think like cause im new york aint nigga trying holla cause want head im nigga trying holla cause want bread could care less perform bed bitch hit track catch date come pay kid look baby simple cant see fucking fucking pimpi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpim bout money see girl holla fucking im pimp see tv cadillac greasy head full hair bitch im pimp come get money curious see feels pimp roll benz could watch tv backseat v im pimp girl could pop champagne could ball could toast good life girl could could really splurge girl tear mall ever needed someone im one call ill pick ever fall got problems solve em big small nigga aint bout shit im friend father confidant bitchi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpi told fools stay tools keep benz rims jewels holla ho til got bitch confused got payless got gator shoes im shopping chinchillas summer cheaper man ho im done aint gon keep man bitches come go every nigga pimping know saying secret aint gotta keep low bitch choose ill stripping street put hoes get ass beat niki bottom bitch always come bread last nigga put stitches head get ho pocket ill put charge bitch cause need tvs amgs six ho make pimp rich aint paying bitch catch date suck dick shit tricki know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpi know heard bitch cant get dollar cadillac perms cant see im motherfucking pimpyeah hollywoood say theres bness like show bness hood say theres bness like ho bness know say talk little fast listen little faster aint got slow catch bitch
22,bump bump bump,b2k and p diddy,2003,sending ladies world ladies world sexy mamas come come come nowas proceed give need kno like body goes bump bump bump bad boy bk yo talk em playeri like lil sexy style love getting wil uh see girl club wit come let talk minute yeah wanna tell somethinggirl need magazines wit crown head cause yous ghetto queen like bling bling bling uh come let find outthe way shakin sexy body shaped like hour glass unverified yeah lets yalli wanna get mean nobody else yo things baby something need uh come check outbaby turn around let see sexy body go bump bump bump yeah want see baby show come onbaby turn around let see sexy body go yeah bump bump bump way throwin thing take uh yeahgirl teasin gonna stop pleasin stop teasin want floor dippin roun rouni love way put makin scream gimme lets go stop come put twoway next mine baby hit anytimebaby behind close doors want main squeeze cop whip cop shiny things girl come wit go dance floorbaby turn around let see sexy body go bump bump bump want see baby show mebaby turn around let see sexy body go bump bump bump way throwin thing take ityeah bad boy baby check call diddy uh dance nothin mami plans take get floor set shake mami lets ride um clyde bonniesee type mami right man move love dance music makes wanna stand like fool stiff hands smooth simple touch make loose itgirl thats enough stop moving bump pump girl bring pump want girl sing wit likedu du du du duda du du du du du du du duda du du duso lets mami friend mami money aint thing mami gotta spend mami put hands thats dance shake like hunni take man mamibaby turn around let see sexy body go bump bump bump want see baby show let yababy turn around let see sexy body go bk bad boy call diddy bump bump bump way throwin thing take iti see chris kno like body go bump bump bump stop lets go lets gobaby turn around let see body go bump bump bump cmon lets go cmon lets go another one pandemonium baby
23,,fabolous featuring tamia,2003,baby girl desert stormi cant really explain im wanna friend ask mention baby girl interviews bring problems thoutheres reason friend two cuz kids ready tell feel vows maybe speak general girl im gonna whatever keep grin nowwhere go wear bikinis winter think tan lines skin wanna spend thou fifth ave shopping sprees dinners chowi aint concerned men would long slide growl dude better kin aint jealous principle nowi really like done cant really explain im really like done cant really explain im youcome flashin wouldve traded orderly fashion villa florida crashin shore hear water splashinthe drop top quarter dashin flawless diamonds water flashin money oughta stashin make sure every quarter cashed cant really explain itmy friends thinking im slippin girls thinking im trippin kinda weed smokin typa drinks sippinsweet thing think dippin would blue hard would think crippinnow relaxin benz credit cards limits worry maxing spends since asking friends howd like names jackson endsi really like done cant really explain im really like done cant really explain im youi wanna trip truth girl way cook stake remind strips ruth chris love smile matter chipped tooth aint whips ruthlessso sit chrome dipped deuces aint flattered canary nvs dipped hey seusses jesus piece ballers look dumb press five sixes let kinda numbers impress youeven though somewhat successful player becoming stressful ever since superwoman come rescue winters wonderful summers speciallets fly st bart villa painted get really acquainted love real theres way feel like tainted cant really explain yeahi really like done cant really explain im really like done cant really explain im youi really like done cant really explain im really like done cant really explain im youoh yeah yeah yeah yeah yeah
24,cant let go,fabolous featuring lil mo and mike shorey,2003,baby girl know situation sometimes know get impatient put show get ovations take court go litigations respect ya gangsta treat like princess put neck thank ya pinch hitta startin lineup aint playin right come bench wit herit might sound like im gassin ya takes time get back seat passenger creepin sneakin keep leakin deep freakin sleep weekend wifeys little bit uptight wonder keep comin home middle night itll alright ya bump heads itll fight said itll alright cmoni really wanna wit chu gotta real wit chu cant leave alone know im livin wrong cant let ya go one want life already got wife cant leave alone know im livin wrong cant let ya goyou aint ever step line get pocket made sure canary sent locket protect ill get cock know barrel gun big enough spit rocket gon play dumb cops come gotta keep top drop come know boutiques shops run cop one cop one tooyou always get daily page weekly ring plus aint shy freaky things aint gotta put band finger worry tellin whole world im man springer first somethin denied something would slide somethin ride shorty theres somethin provide cuz entry aint good without somethin side knowi really wanna wit chu gotta real wit chu cant leave alone know im livin wrong cant let ya go one want life already got wife cant leave alone know im livin wrong cant let ya gouh might leavin earth soon girl gon kill smell scent perfume gonna clip toss go back wit stains lip gloss throwback care im platinum rapper catch empty magnum wrapper keep low call car celly seen happened mr big r kellyyou know care anytime chick feelings im share wit makes little clear youi really wanna wit chu gotta real wit chu cant leave alone know im livin wrong cant let ya go one want life already got wife cant leave alone know im livin wrong cant let ya goi really wanna wit chu gotta real wit chu cant leave alone know im livin wrong cant let ya go one want life already got wife cant leave alone know im livin wrong cant let ya go
25,mesmerize,ja rule featuring ashanti,2003,haha yeah yeah know know good murder incgirl stare eyes love look baby lips smile love kiss baby hips thighs love thug baby cant deny love shake hehe love im babyi got fetish fucking skirt back street back seat yukon whats taking long im getting extra impatient waiting tell nigga move onbetween find fly aboard private g im trying g im trying see bent know feet shoulders bring heat coldest night ferocious promoting dick game poorcause bed nigga go hard like jordan sweat pouring loving way moaning gripping sheets looking licking cause every woman want happy crazy baby love im babygirl stare eyes love look baby lips smile love kiss baby hips thighs love thug baby cant deny love shake hehe love im babyi wanna get away cause know like know theres better day coming hooked lovin believe want bodyi know need wait baby going half crazy love told sex better drugs making addictive boy listenyoure piece puzzle missing like kissing bye bye bye got girl ride ride ride take tonight babygirl stare eyes love look baby lips smile love kiss baby hips thighs love thug baby cant deny love shake hehe love im babyshorty
26,love,the black eyed peas,2003,whats wrong world mama people livin like aint got mamas think whole worlds addicted drama attracted things bring trauma overseas yeah try stop terrorism still got terrorists livin usa big cia bloods crips kkk love race leave space discriminate discriminate generates hate hate bound get irate yeah badness demonstrate thats exactly anger works operates man gotta love set straight take control mind meditate let soul gravitate love yall yall people killin people dyin children hurt hear cryin practice preach would turn cheek father father father help us send us guidance cause people got got questionin love love love love love love love love love aint always unchanged new days strange world insane love peace strong pieces love belong nations droppin bombs chemical gasses fillin lungs little ones ongoin sufferin youth die young ask lovin really gone could ask really goin wrong world livin people keep givin makin wrong decisions visions dividends respectin deny thy brother war goin reasons undercover truth kept secret swept rug never know truth never know love wheres love yall come know wheres truth yall come know wheres love yall people killin people dyin children hurt hear cryin practice preach would turn cheek father father father help us send us guidance cause people got got questionin love love love love love love love love love love love love love love love love love feel weight world shoulder im gettin older yall people gets colder us care money makin selfishness got us followin wrong direction wrong information always shown media negative images main criteria infecting young minds faster bacteria kids wanna act like see cinema yo whatever happened values humanity whatever happened fairness equality instead spreading love spreading animosity lack understanding leading lives away unity thats reason sometimes im feelin thats reason sometimes im feelin theres wonder sometimes im feelin gotta keep faith alive till love found ask love love love love father father father help us send us guidance cause people got got questionin love sing wit yall one world one world got one world one world thats got one world one world somethins wrong wit yeah somethins wrong wit yeah somethins wrong wit world world world yeah got one world one world thats got one world one world
27,game love,santana featuring michelle branch,2003,tell want one kiss boom one please tell come around cause right im crying outside door candy storeit takes little bit little bit started kiss bat little bit laughs little bit pain im telling babe game oflove whatever make sunshine instead cold lonely sea please baby try use im good aint saying goodbye knocking door candy storeit takes little bit little bit started kiss bat little bit laughs little bit pain im telling baby game love game loveyou roll control console please hold guide divide meso please tell come around cause right im dying outside door loving storeit take little bit little bit started kiss bat little bit laughs little bit pain im telling babe game love game love game love lets play game loveroll control please hold im
28,lose,eminem,2003,look one shot one opportunity seize everything ever wanted one moment would capture let slipyo palms sweaty knees weak arms heavy theres vomit sweater already moms spaghetti hes nervous surface looks calm ready drop bombs keeps forgettin wrote whole crowd goes loud opens mouth words come hes chokin everybodys jokin clocks run times blaow snap back reality goes gravity goes rabbit choked hes mad give easy knows whole back citys ropes matter hes dope knows hes broke hes stacked knows goes back mobile home thats back lab yo whole rhapsody better go capture moment hope pass himyou better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime better meaning byamandah editor lose follows struggle brabbit growing detroitarea trailer parkplayed em himselfin american hip hop drama see better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime betterthe souls escaping hole gaping world mine taking make king move toward new world order normal life borin super stardoms close post mortem grows harder grows hotter blows us hoes coast coast shows hes known globetrotter lonely roads god knows hes grown farther home hes father goes home barely knows daughter hold nose cause goes cold water hoes want mo hes cold product moved next schmo flows nose dove sold nada soap opera told unfolds suppose old partna beat goes da da dumb da dumb da dayou better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime betteryou better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime betterno games im change call rage tear motherfuckin roof like two dogs caged playin beginnin mood changed chewed spit booed stage kept rhymin stepwritin next cipher best believe somebodys payin pied piper pain inside amplified fact cant get nine five cant provide right type life family cause man god damn food stamps buy diapers movie theres mekhi phifer life times hard getting even harder tryin feed water seed plus see dishonor caught bein father primadonna baby mama drama screamin much want say one spot another jam gotten point im like snail ive got formulate plot fore end jail shot success motherfuckin option failures mom love trail got go cannot grow old salems lot go shot feet fail cause maybe opportunity gotyou better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime betteryou better lose music moment better never let go get one shot miss chance blow opportunity comes lifetime betteryou anything set mind man
29,rock wit u awww baby,ashanti,2003,aw baby aw baby yeah murda inc want love babe want love babe baby ashanti chapter two lets rock itcan rock aw baby nonstop take top want love babe love ya babe always thinking babecan roll baby take control want love baby always thinking babyi think like body feel next aw baby kissing aw baby loving cant describe want tonight aw baby come ill make never leavecan rock aw baby nonstop stop take top want love babe love ya babe always thinking babe wanna love babecan roll baby take control want love baby love babe always thinking babysee know handle friend aw baby cant pretend aw baby im far mind long could life aw baby im satisfied even minecan rock aw baby nonstop take top want love babe want love ya babe always thinking babe thinking youcan roll baby take control want love baby love always thinking babyboy make aw baby aw baby baby baby feel say aw baby aw baby baby babycan rock aw baby nonstop want rock take top want love babe always thinking babe yeah yeahyeahcan roll baby take control want love baby yeah yeah yeah always thinking baby baby babycan rock aw baby nonstop stop take top babe want love babe want love babe always thinking babe im thinking babecan roll baby take control want love baby always thinking baby want love babeoh mm love babe mm yeahyeah yeahyeah yeah mm love babe mm yeahyeah yeahyeah yeah
30,cry river,justin timberlake,2003,sun earth bet know ways loved noso took chance made plans bet think would come crashing noyou say already know found theres chance make sad ityou told loved leave alone tell need call phonegirl refuse must confused guy bridges burned turn cry meaning byamandah editor cry river justins track infidelity record futuresexlovesounds goes aroundcomes around demise see cry river cry river cry river cry river yeah yeahyou know say things better left unsaid like talked know act like know itall things people told keep messin head picked honesty might blown ityeah say say already know already know found himnow theres chance chance make sad ityou told loved leave alone alone tell need call phone baby call phonegirl refuse must confused guy im like baby bridges burned turn cry turncry river go cry river go cry river baby go cry river yeah yeah ohthe damage done guess ill leavin damage done guess ill leavin damage done guess ill leavin damage done guess ill leavinyou say say already know already know found uhnow theres chance chance make sad itcry river cry river cry river cry river cry river cry river cry river yeah yeah
